batter,hittype,speed_A,True_speed
452,line_drive,98.7770912556576,98.33076610375139
452,popup,77.0924812866786,76.7724050959544
453,fly_ball,89.932984968432,89.48228103345576
453,ground_ball,85.3875741859292,87.8244702941927
453,line_drive,90.0405578928634,89.5111845767066
453,popup,81.51571221576775,79.93858836685222
454,fly_ball,95.0696484870041,95.611897406186
454,ground_ball,90.549944802515,90.45444852126076
454,line_drive,96.1088989732464,96.25196321003007
454,popup,76.97697360894199,81.26155188253438
455,ground_ball,89.0355109315408,89.2126557553411
456,fly_ball,92.44179038049239,92.56265292041027
456,ground_ball,94.24191109017285,91.37730704764792
456,line_drive,99.98885094529686,99.90161638998154
456,popup,83.31656231810621,82.01712460733098
457,fly_ball,88.50309253390589,88.8314664491306
457,ground_ball,92.84926636191736,89.15629781520514
457,line_drive,90.63130809468984,90.9263959155249
457,popup,74.6173775699271,71.89059736708893
458,fly_ball,87.30945977475,86.4260635420116
458,ground_ball,82.3321965426724,85.83027675858744
458,line_drive,97.4077974081871,97.52515893030686
459,ground_ball,88.3232693262604,89.41972636726133
459,line_drive,92.83834660036025,97.08226005776827
460,ground_ball,86.3155795456789,85.36763802705042
461,fly_ball,82.59183866429049,82.37991248172537
461,ground_ball,64.0034335914475,83.78949062294878
462,ground_ball,87.61633361445705,86.25219569046638
463,line_drive,66.0304062307175,66.45183310067047
464,ground_ball,78.5703005191167,86.94172086158083
464,line_drive,88.9877930113614,90.03774261834508
465,fly_ball,86.6919015121289,86.3324677781918
465,ground_ball,91.29546597398455,89.65645105587022
465,line_drive,92.26304940162625,92.20017063065744
465,popup,62.568731650633104,66.42880384901812
466,fly_ball,86.7596916319464,86.97021091032195
466,ground_ball,86.8063378745262,88.12119245720646
466,line_drive,90.5079408298918,90.5296618303365
466,popup,69.55613981285946,71.34171540636838
467,fly_ball,94.7745192027207,95.02244553481417
467,ground_ball,82.72555611175675,88.06278675131983
467,line_drive,97.08223537320845,97.25216697967376
467,popup,79.4414047589841,79.01695030317292
